familyid,CT00
000105848807,195500
000106237057,206300
000105864284,800326
000106650082,430502
000106299315,123800
000095000547,650800
000106618118,480002
000106056228,920035
000105885763,620302
000042428734,573001
000106058000,264301
000105829838,460000
000105939027,920019
000106455108,571501
000106610848,124600
000106233375,670600
000106058615,910810
000105916910,620303
000105807007,430501
000106210108,137201
000106527498,143800
000106163419,276100
000105863953,403322
000029810280,462800
000105824862,405700
000106364373,408212
000106433775,601001
000105792698,920015
000106436184,400302
000106104646,901006
000105979392,401800
000081109425,432201
000106210205,274200
000106476548,800325
000106471959,262602
000106340121,462500
000106109044,461300
000106477303,265200
000106342225,910808
000105959822,267200
000105913640,701302
000106632006,800102
000106413679,700300
000106344832,701302
000106189391,311400
000106129661,920107
000106346091,270300
000105934182,670411
000105861207,501801
000106611548,910203
000106436621,403321
000105883101,575401
000106030469,430723
000106459246,480600
000106500785,295101
000105930405,262500
000026111103,262601
000106490782,134201
000106493675,273900
000106167882,311600
000106616580,403325
000106384814,403321
000105950899,670321
000031626280,135203
000106234583,216900
000106342864,460301
000106438115,670701
000105997323,275311
000106126896,302502
000106096810,800401
000106342929,910809
000105916855,401800
000105797059,275510
000106585464,920034
000106276185,650300
000106417547,294410
000105866901,135201
000028516966,552000
000105841350,702501
000030090054,125310
000106090720,217200
000105939598,297200
000105843506,701501
000106585422,800202
000106583373,406300
000105802353,300300
000105808367,104103
000036072387,194200
000106108925,265301
000106347848,543100
000105975432,195100
000106417259,113211
000105827043,920108
000106583307,400205
000106109206,139303
000105951256,189901
000105978914,461900
000106034484,577100
000106100773,482102
000106011482,407500
000106272673,570501
000106670329,910808
000106144940,670403
000105825318,541801
000105846054,267900
000106675196,920113
000105952249,621322
000105841410,670600
000106475903,141200
000105933830,195200
000106580922,670600
000106146785,401902
000105863903,461500
000106015449,216700
000105803956,430001
000106473508,310900
000102784868,621201
000106141329,920335
000106494689,135112
000106015907,194300
000106349798,464200
000106566589,463200
000106305225,543322
000065149218,910301
000106182043,400205
000106276575,262400
000106273666,651102
000106521874,650800
000106292300,573902
000106296723,555002
000097620364,920020
000106102877,600501
000106450297,234200
000106256770,670403
000106545233,920110
000106307222,920328
000079718452,405800
000106213606,620302
000106324168,267402
000106414934,501300
000088023100,400604
000105886939,181000
000105821013,620102
000106070179,143800
000032056887,261101
000106183395,464100
000105932826,272100
000106506715,481401
000106678584,189300
000028750012,273900
000106017925,800403
000106471598,143901
000106691031,264302
000106308142,651301
000106363097,195100
000106211248,577300
000105997124,216200
000106305725,124000
000105865955,700400
000106219584,261200
000106270964,189500
000106211617,480703
000106431508,273900
000105918247,267800
000039131172,189701
000105649458,402600
000106077066,262200
000105913878,139702
000105867732,261101
000026025459,124600
000106213122,620400
000106079631,572001
000106059739,275302
000105938487,275311
000106544177,700300
000106301381,141700
000106299438,701400
000106525399,189300
000105913860,262303
000106414840,670600
000106493691,194200
000106580100,430600
000106492213,700500
000105823442,700500
000105842607,701601
000106526887,273700
000106673673,702400
000106099533,124000
000106035333,262602
000105956117,211701
000106363877,271200
000106418399,189902
000026390406,482001
000106090877,189600
000106388504,702100
000106458198,143902
000105826291,480500
000106076971,194500
000106615762,265600
000106567276,700100
000106589861,297120
000106275537,206050
000106073318,262200
000106522728,480002
000106437570,430502
000105881109,462500
000106584235,701301
000106418284,139600
000106528520,620702
000106639817,265100
000106019223,701400
000106529738,620701
000105958038,267800
000106691400,111203
000106077087,403321
000106309606,216400
000105847437,462200
000105888643,701000
000106473977,189300
000106056728,212700
000106362651,113321
000106529987,214600
000106618980,214900
000106670308,265100
000105881586,123510
000106567328,262701
000106234575,141400
000106415066,214800
000106676537,573902
000106349992,275400
000105807772,262800
000106298186,211702
000106410896,701201
000105935303,211000
000106252556,189400
000106218737,700800
000106509140,217100
000106149461,275311
000106279659,700500
000106491851,265510
000105803333,189200
000105970107,262301
000106147930,272301
000106298788,267700
000106075881,701801
000106059763,297000
000106437850,137402
000106073724,703001
000106384343,270300
000106073216,621101
000106658179,670414
000105935434,702100
000105845121,543702
000106545482,460100
000105889851,189702
000105860735,702901
000105867761,264101
000105938356,575101
000106619740,125200
000106109057,276602
000106148758,132000
000105798084,800202
000106250305,272200
000106094334,432000
000106146895,189600
000106278810,239800
000105806307,128500
000106508246,702100
000106451769,273600
000105796846,141700
000106279120,460100
000106546530,800326
000106472052,700800
000106012763,216800
000106366016,262500
000106274620,211000
000106349191,212100
000106670832,800401
000106211329,430803
000106075462,621321
000105808697,670407
000106058694,620902
000106056684,137201
000106320290,262601
000106690394,431700
000106586643,621002
000106654662,482002
000105936901,800325
000106653221,143700
000106058657,577502
000041010159,191900
000106302921,920327
000106075404,273900
000105868681,143100
000106411224,920314
000106419463,311400
000105865510,800302
000105970843,301800
000106413569,190200
000106108522,461700
000106057541,504002
000106011306,403722
000106529694,462100
000105843459,301701
000106452794,800201
000106415626,262200
000106345684,651101
000106293296,262100
000106251937,190100
000106361472,125400
000106365950,269500
000105798319,214500
000106612544,128400
000106213486,297500
000106690522,195100
000106452053,125100
000025655341,212700
000105911282,462800
000106328557,119340
000106251343,195801
000106123814,141600
000106278747,262400
000106475835,197410
000105918019,191000
000105801501,302202
000106452765,195200
000106140080,701502
000083639154,269500
000105843108,460000
000057336504,195801
000106093618,188300
000106210030,401800
000105975759,261101
000105977942,215100
000106361435,433601
000058612570,216300
000106615453,702201
000106508966,191820
000106472609,262302
000106290162,408722
000105971111,296900
000106306394,195900
000105952079,300902
000105842518,262601
000078906358,574201
000106459568,214000
000078166506,124400
000105911897,214000
000106276931,194300
000106301116,197500
000094348813,702502
000079111747,650901
000106655236,300300
000105806894,701302
000105886581,214500
000106452058,301000
000092658091,213401
000023090534,555104
000106652453,702400
000106218363,462900
000105841313,403408
000106497174,300100
000106434556,216400
000105825290,262800
000079043825,301800
000106160911,702201
000106053597,141600
000106147948,461300
000106271083,106643
000105913690,621322
000106255944,143100
000106012611,401302
000105938864,141200
000105803037,620102
000106435057,135112
000006716677,216900
000106589293,141302
000106473532,401002
000106073431,554512
000106295992,278000
000106033475,273500
000106657843,800201
000106230770,543604
000106304630,124000
000106614114,670321
000106497899,920113
000106637640,462500
000106016822,212700
000106415215,701301
000106630033,650800
000105797465,432102
000106459576,701602
000106230526,128600
000106099871,701701
000105843661,702901
000106678636,480500
000106523376,139702
000105959937,216100
000035044341,480500
000106230398,267900
000105799849,265200
000106435780,234300
000106213101,214000
000105914023,123800
000106415579,408002
000106070268,143300
000106491945,702300
000106635737,262602
000106034222,262100
000106164177,261102
000106616302,143400
000106548634,267501
000005942087,651222
000105915040,189600
000106055751,141301
000106493751,191900
000105974020,143700
000106270338,700600
000106542065,195200
000106141764,300100
000105863500,920013
000105824558,401601
000106217692,201302
000106452265,264101
000106144270,430724
000105806705,620303
000106659984,621322
000106582673,554512
000106523151,275601
000106275375,134901
000106477691,541001
000105805686,430803
000105930905,571502
000106104523,261200
000106184341,576601
000066575293,267501
000106458533,480901
000105913836,554300
000105800631,139400
000105801611,262601
000106618595,269000
000106298843,262702
000106451303,265600
000106526219,301400
000105885179,800403
000106055447,551201
000106120793,920042
000086936811,300701
000106300898,402802
000106033556,111100
000106658666,700100
000106233508,920326
000105935272,208610
000105790133,189400
000106031402,800101
000028061364,297600
000106586389,261200
000079608446,651101
000106618901,271600
000106658475,464100
000058166891,264000
000030030133,702901
000106304232,401312
000106093647,143602
000106455747,141600
